Ќазвание;÷ена;ѕри обмене;’арактеристика;—сылка
јккумул€тор TROJAN J305H-AC 6V 360A;39200руб.;37400руб.;≈мкость: 360 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 296x176x366√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-j305h-ac-6v-360a-296h176h366.html
јккумул€тор TROJAN J305-AGM 6V 310A;41400руб.;39800руб.;≈мкость: 310 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 296x176x335√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-j305-agm-6v-310a-296h176h335.html
јккумул€тор TROJAN L16PG-AC 6V 420A;41600руб.;39600руб.;≈мкость: 420 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 308x174x417√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-l16pg-ac-6v-420a-308h174h417.html
јккумул€тор TROJAN 5SHP-GEL 12V 125A;42100руб.;40700руб.;≈мкость: 125 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 345x172x283√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-5shp-gel-12v-125a-345h171h283.html
јккумул€тор TROJAN L16P-AC 6V 420A;42200руб.;40200руб.;≈мкость: 420 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 296x176x425√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-l16p-ac-6v-420a-296h176h425.html
јккумул€тор TROJAN L16P 6V 420A;42200руб.;40200руб.;≈мкость: 420 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 296x176x425√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-l16p-6v-420a-296h176h425.html
јккумул€тор TROJAN J185HG-AC 12V 225A;42600руб.;40400руб.;≈мкость: 225 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 394x175x372√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-j185hg-ac-12v-225a-394h175h372.html
јккумул€тор TROJAN J185H-AC 12V 225A );43200руб.;41000руб.;≈мкость: 225 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 380x176x374√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-j185h-ac-12v-225a-380h176h374.html
јккумул€тор TROJAN J200RE 12V 200A;43900руб.;41500руб.;≈мкость: 200 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 380x176x374√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-j200-12v-200a-380h176h374.html
јккумул€тор TROJAN SPRE 12 225 12V 200A;44800руб.;42400руб.;≈мкость: 200 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 380x176x374√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-spre-12-225-12v-200a-380h176h374.html
јккумул€тор TROJAN L16HG-AC 6V 435A;46100руб.;43900руб.;≈мкость: 435 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 311x174x417√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-l16hg-ac-6v-435a-311h174h417.html
јккумул€тор TROJAN L16H-AC 6V 435A;46600руб.;44400руб.;≈мкость: 435 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 296x176x425√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-l16h-ac-6v-435a-296h176h425.html
јккумул€тор TROJAN L16H 6V 435A;46600руб.;44400руб.;≈мкость: 435 јчЌоминальное напр€жение: 6 ¬ѕол€рность:”ниверсальна€√абариты: 296x176x425√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-l16h-6v-435a-296h176h425.html
јккумул€тор TROJAN 31-AGM 12V 100A;47100руб.;45900руб.;≈мкость: 100 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 329x174x237√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-31-agm-12v-100a-329h174h237.html
јккумул€тор TROJAN L16-AGM 6V 370A;51600руб.;49600руб.;≈мкость: 370 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 296x176x414√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-l16-agm-6v-370a-296h176h414.html
јккумул€тор TROJAN J185-AGM 12V 200A;55900руб.;53900руб.;≈мкость: 200 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 380x176x357√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-j185-agm-12v-200a-380h176h357.html
јккумул€тор TROJAN 8D-AGM 12V 230A;61300руб.;58300руб.;≈мкость: 230 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 521x269x233√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-8d-agm-12v-230a-521h269h233.html
јккумул€тор TROJAN 8D-GEL 12V 225A;86700руб.;83900руб.;≈мкость: 225 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 534x279x233√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-8d-gel-12v-225a-534h279h233.html
јккумул€тор TROJAN DC500ML 12V 450A;179600руб.;173600руб.;≈мкость: 450 јчЌоминальное напр€жение: 12 ¬ѕол€рность:”ниверсальна€√абариты: 489x270x425√аранти€: 12 мес€цев;https://akbmag.ru//catalog/akkumulator-trojan-dc500ml-12v-450a-489h270h425.html
